DATE,Price
01-02-2000,1654.8
01-03-2000,1528.45
01-04-2000,1406.55
01-05-2000,1380.45
01-06-2000,1471.45
01-07-2000,1332.85
01-08-2000,1394.1
01-09-2000,1271.65
01-10-2000,1172.75
01-11-2000,1268.15
01-12-2000,1263.55
01-01-2001,1371.7
01-02-2001,1351.4
01-03-2001,1148.2
01-04-2001,1125.25
01-05-2001,1167.9
01-06-2001,1107.9
01-07-2001,1072.85
01-08-2001,1053.75
01-09-2001,913.85
01-10-2001,971.9
01-11-2001,1067.15
01-12-2001,1059.05
01-01-2002,1075.4
01-02-2002,1142.05
01-03-2002,1129.55
01-04-2002,1084.5
01-05-2002,1028.8
01-06-2002,1057.8
01-07-2002,958.9
01-08-2002,1010.6
01-09-2002,963.15
01-10-2002,951.4
01-11-2002,1050.15
01-12-2002,1093.5
01-01-2003,1041.85
01-02-2003,1063.4
01-03-2003,978.2
01-04-2003,934.05
01-05-2003,1006.8
01-06-2003,1134.15
01-07-2003,1185.85
01-08-2003,1356.55
01-09-2003,1417.1
01-10-2003,1555.9
01-11-2003,1615.25
01-12-2003,1879.75
01-01-2004,1809.75
01-02-2004,1800.3
01-03-2004,1771.9
01-04-2004,1796.1
01-05-2004,1483.6
01-06-2004,1505.6
01-07-2004,1632.3
01-08-2004,1631.75
01-09-2004,1745.5
01-10-2004,1786.9
01-11-2004,1958.8
01-12-2004,2080.5
01-01-2005,2057.6
01-02-2005,2103.25
01-03-2005,2035.65
01-04-2005,1902.5
01-05-2005,2087.55
01-06-2005,2220.6
01-07-2005,2312.3
01-08-2005,2384.65
01-09-2005,2601.4
01-10-2005,2370.95
01-11-2005,2652.25
01-12-2005,2836.55
01-01-2006,3001.1
01-02-2006,3074.7
01-03-2006,3402.55
01-04-2006,3557.6
01-05-2006,3071.05
01-06-2006,3128.2
01-07-2006,3143.2
01-08-2006,3413.9
01-09-2006,3588.4
01-10-2006,3744.1
01-11-2006,3954.5
01-12-2006,3966.4
01-01-2007,4082.7
01-02-2007,3745.3
01-03-2007,3821.55
01-04-2007,4087.9
01-05-2007,4295.8
01-06-2007,4318.3
01-07-2007,4528.85
01-08-2007,4464
01-09-2007,5021.35
01-10-2007,5900.65
01-11-2007,5762.75
01-12-2007,6138.6
01-01-2008,5137.45
01-02-2008,5223.5
01-03-2008,4734.5
01-04-2008,5165.9
01-05-2008,4870.1
01-06-2008,4040.55
01-07-2008,4332.95
01-08-2008,4360
01-09-2008,3921.2
01-10-2008,2885.6
01-11-2008,2755.1
01-12-2008,2959.15
01-01-2009,2874.8
01-02-2009,2763.65
01-03-2009,3020.95
01-04-2009,3473.95
01-05-2009,4448.95
01-06-2009,4291.1
01-07-2009,4636.45
01-08-2009,4662.1
01-09-2009,5083.95
01-10-2009,4711.7
01-11-2009,5032.7
01-12-2009,5201.05
01-01-2010,4882.05
01-02-2010,4922.3
01-03-2010,5249.1
01-04-2010,5278
01-05-2010,5086.3
01-06-2010,5312.5
01-07-2010,5367.6
01-08-2010,5402.4
01-09-2010,6029.95
01-10-2010,6017.7
01-11-2010,5862.7
01-12-2010,6134.5
01-01-2011,5505.9
01-02-2011,5333.25
01-03-2011,5833.75
01-04-2011,5749.5
01-05-2011,5560.15
01-06-2011,5647.4
01-07-2011,5482
01-08-2011,5001
01-09-2011,4943.25
01-10-2011,5326.6
01-11-2011,4832.05
01-12-2011,4624.3
01-01-2012,5199.25
01-02-2012,5385.2
01-03-2012,5295.55
01-04-2012,5248.15
01-05-2012,4924.25
01-06-2012,5278.9
01-07-2012,5229
01-08-2012,5258.5
01-09-2012,5703.3
01-10-2012,5619.7
01-11-2012,5879.85
01-12-2012,5905.1
01-01-2013,6034.75
01-02-2013,5693.05
01-03-2013,5682.55
01-04-2013,5930.2
01-05-2013,5985.95
01-06-2013,5842.2
01-07-2013,5742
01-08-2013,5471.8
01-09-2013,5735.3
01-10-2013,6299.15
01-11-2013,6176.1
01-12-2013,6304
01-01-2014,6089.5
01-02-2014,6276.95
01-03-2014,6704.2
01-04-2014,6696.4
01-05-2014,7229.95
01-06-2014,7611.35
01-07-2014,7721.3
01-08-2014,7954.35
01-09-2014,7964.8
01-10-2014,8322.2
01-11-2014,8588.25
01-12-2014,8282.7
01-01-2015,8808.9
01-02-2015,8901.85
01-03-2015,8491
01-04-2015,8181.5
01-05-2015,8433.65
01-06-2015,8368.5
01-07-2015,8532.85
01-08-2015,7971.3
01-09-2015,7948.9
01-10-2015,8065.8
01-11-2015,7935.25
01-12-2015,7946.35
01-01-2016,7563.55
01-02-2016,6987.05
01-03-2016,7738.4
01-04-2016,7849.8
01-05-2016,8160.1
01-06-2016,8287.75
01-07-2016,8638.5
01-08-2016,8786.2
01-09-2016,8611.15
01-10-2016,8625.7
01-11-2016,8224.5
01-12-2016,8185.8
01-01-2017,8561.3
01-02-2017,8879.6
01-03-2017,9173.75
01-04-2017,9304.05
01-05-2017,9621.25
01-06-2017,9520.9
01-07-2017,10077.1
01-08-2017,9917.9
01-09-2017,9788.6
01-10-2017,10335.3
01-11-2017,10226.55
01-12-2017,10530.7
01-01-2018,11027.7
01-02-2018,10492.85
01-03-2018,10113.7
01-04-2018,10739.35
01-05-2018,10736.15
01-06-2018,10714.3
01-07-2018,11356.5
01-08-2018,11680.5
01-09-2018,10930.45
01-10-2018,10386.6
01-11-2018,10876.75
01-12-2018,10862.55
